"Date-Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","RainTomorrow"
"2009-01-01-NorfolkIsland",20.4,25.8,0,1,31,1,2,13,19,84,71,1014.5,1013.6,23.3,24.7,0,1,0
"2009-01-02-NorfolkIsland",20.9,26.7,0.2,3,31,4,5,15,6,79,77,1016.3,1015.5,25,25.1,0,1,0
"2009-01-03-NorfolkIsland",22.3,26.3,0,6,35,7,8,6,19,87,90,1014.6,1014.3,24.7,23.8,0,0,1
"2009-01-04-NorfolkIsland",21.6,22.2,1.2,9,41,9,9,20,22,92,95,1016,1015.3,22.1,21.2,1,0,1
"2009-01-05-NorfolkIsland",20.4,23.5,2.6,9,52,9,9,24,28,86,86,1015.3,1013.7,21.8,21.6,1,1,0
"2009-01-06-NorfolkIsland",20.4,24.4,0,6,48,9,9,30,24,84,79,1014.5,1012.7,21.4,23.3,0,1,0
"2009-01-07-NorfolkIsland",20.2,24.2,0,9,52,9,9,28,31,86,79,1014.1,1013,21.9,23.3,0,1,0
"2009-01-08-NorfolkIsland",20.5,24,0,6,52,9,8,28,28,82,82,1011.5,1009.4,22.5,22.8,0,1,0
"2009-01-09-NorfolkIsland",20.9,22,0,10,61,10,10,28,33,92,95,1003.9,1000.4,21.9,21.6,0,0,1
"2009-01-10-NorfolkIsland",18.5,23.1,45.2,8,81,8,9,46,33,77,64,1001.7,1001.2,19.8,22.1,1,1,0
"2009-01-11-NorfolkIsland",19.7,22.8,0.4,8,54,8,8,30,28,83,82,1006.4,1006.9,21.6,22.1,0,1,0
"2009-01-12-NorfolkIsland",19.8,23.8,0,8,37,8,8,24,22,78,78,1011.2,1010.5,21.6,22,0,1,0
"2009-01-13-NorfolkIsland",19.2,23.2,0,10,35,11,8,22,20,77,77,1011.4,1010.4,21.2,22,0,0,1
"2009-01-14-NorfolkIsland",17.3,22.5,1.6,10,46,10,8,26,22,74,55,1013.2,1012.4,19.9,21.7,1,1,0
"2009-01-15-NorfolkIsland",18.5,23.6,0,8,37,10,8,24,24,64,69,1015.3,1015,21.4,22.4,0,1,0
"2009-01-16-NorfolkIsland",17.3,22.8,0,10,26,8,10,13,15,63,61,1016.9,1016.2,21.3,21.6,0,1,0
"2009-01-17-NorfolkIsland",16.2,23.4,0,2,30,12,3,13,13,65,62,1015,1013.4,21,22.1,0,0,1
"2009-01-18-NorfolkIsland",17.9,22.6,12.8,13,50,11,11,15,24,84,66,1014.6,1014.8,19.2,21.6,1,1,0
"2009-01-19-NorfolkIsland",16.5,22.5,0,10,31,8,10,13,19,58,60,1018.7,1018,21.1,21.4,0,1,0
"2009-01-20-NorfolkIsland",17,23,0,6,35,8,8,17,19,60,62,1021.7,1021.4,21.1,22,0,1,0
"2009-01-21-NorfolkIsland",16.9,23.6,0,6,41,9,6,22,30,60,68,1022.9,1021.8,21.8,22.2,0,1,0
"2009-01-22-NorfolkIsland",19.3,24,0,6,46,9,9,26,26,78,71,1022.6,1020.5,22.1,22.7,0,1,0
"2009-01-23-NorfolkIsland",20.2,24.5,0,6,46,6,7,22,30,76,72,1020.8,1018.5,22.7,23.3,0,1,0
"2009-01-24-NorfolkIsland",20.1,25.1,0,6,52,9,6,28,31,83,72,1018.3,1016.7,22.7,24.1,0,1,0
"2009-01-25-NorfolkIsland",20.5,25.1,0,7,46,7,6,31,28,74,75,1018.1,1018.3,23.5,23.1,0,1,0
"2009-01-26-NorfolkIsland",19.6,24.7,0,6,41,9,6,20,26,73,67,1018.4,1016.9,22.6,23,0,1,0
"2009-01-27-NorfolkIsland",18.6,23.9,0,10,30,8,10,15,22,68,65,1015.9,1015,21.5,22.7,0,1,0
"2009-01-28-NorfolkIsland",17.8,24.2,0,10,35,8,9,19,15,76,71,1016.4,1016.1,21.8,22.6,0,1,0
"2009-01-29-NorfolkIsland",19.5,24.1,0.8,9,41,9,8,22,22,70,66,1019,1018.4,22.2,23,0,1,0
"2009-01-30-NorfolkIsland",18.2,24.2,0,8,41,8,8,22,26,64,63,1019.5,1018.3,22.3,23.5,0,1,0
"2009-01-31-NorfolkIsland",20.1,23.7,0,9,43,8,9,24,26,74,70,1019.3,1017.6,22,22.1,0,0,1
"2009-02-01-NorfolkIsland",19.3,23.6,2,8,37,9,8,17,22,86,72,1015.7,1014.3,21,22.6,1,1,0
"2009-02-02-NorfolkIsland",19.9,24.2,0.2,10,35,8,8,17,22,79,75,1014.4,1013.1,21.9,23.5,0,1,0
"2009-02-03-NorfolkIsland",19.6,24.8,0,6,37,6,6,20,20,69,73,1013.6,1011.6,22.9,23.6,0,1,0
"2009-02-04-NorfolkIsland",20,25,0,6,35,8,9,15,17,81,84,1011.5,1009.9,22.3,23.1,0,0,1
"2009-02-05-NorfolkIsland",21.5,22.1,1.8,9,44,9,9,26,22,95,95,1008.7,1006.1,21.8,21.7,1,0,1
"2009-02-06-NorfolkIsland",20.6,23.1,17.6,8,67,8,8,28,39,92,96,1000.6,998.8,21.9,21.7,1,0,1
"2009-02-07-NorfolkIsland",21.5,25.5,3.8,8,61,9,7,31,26,98,90,1003.1,1005.4,23,25.2,1,0,1
"2009-02-08-NorfolkIsland",22.2,26.8,6,3,43,4,3,19,26,87,80,1012.1,1012.6,24.7,25.8,1,1,0
"2009-02-09-NorfolkIsland",23.7,25.4,0.6,1,56,3,3,20,22,90,94,1014.2,1012.5,24.8,24.1,0,0,1
"2009-02-10-NorfolkIsland",22.2,26.3,20.6,1,33,1,12,15,20,85,80,1013.6,1012.3,24.3,25.5,1,1,0
"2009-02-11-NorfolkIsland",20.9,27.1,0.2,3,37,5,4,17,17,87,86,1012.9,1010.9,23.6,25.6,0,1,0
"2009-02-12-NorfolkIsland",23.6,27,0,3,50,3,2,28,24,87,87,1008.8,1008.3,25.2,26.2,0,0,1
"2009-02-13-NorfolkIsland",21.7,25.5,5.8,8,44,10,10,22,22,80,74,1014.5,1015.2,23.1,24.1,1,1,0
"2009-02-14-NorfolkIsland",20.2,23.4,0,8,48,8,8,26,22,63,61,1017.2,1016.3,21.6,22.5,0,1,0
"2009-02-15-NorfolkIsland",20,24.7,0,6,46,9,7,24,28,69,74,1014.5,1012.4,22.8,23.1,0,0,1
"2009-02-16-NorfolkIsland",21.2,28.1,10,1,30,4,2,13,15,96,79,1011.5,1010.8,23.5,27.3,1,1,0
"2009-02-17-NorfolkIsland",23.2,27.4,0.2,5,30,5,10,13,9,87,83,1014.8,1014.3,25.2,26.4,0,1,0
"2009-02-18-NorfolkIsland",23.5,27.6,0.4,5,46,7,5,22,28,90,85,1017.6,1015.9,25.3,25.3,0,1,0
"2009-02-19-NorfolkIsland",23.9,28.1,0,4,44,4,4,26,28,86,79,1015.9,1013.9,25.8,27.5,0,1,0
"2009-02-20-NorfolkIsland",24.3,26.4,0,12,44,1,12,20,24,91,88,1013.6,1011.8,25,25.3,0,0,1
"2009-02-22-NorfolkIsland",20.1,25.7,6,11,33,8,8,15,19,76,72,1013.5,1012.9,23.8,24.5,1,1,0
"2009-02-23-NorfolkIsland",21.6,25.6,0.2,8,35,8,8,20,22,81,70,1014.4,1014.7,22.4,23.8,0,1,0
"2009-02-24-NorfolkIsland",20.5,25.6,0,8,41,9,8,20,24,67,58,1018,1017.2,22.9,24.7,0,1,0
"2009-02-25-NorfolkIsland",19.5,25.7,0,6,44,9,6,20,30,52,55,1018.5,1016.7,23.7,24.2,0,1,0
"2009-02-26-NorfolkIsland",21,25.2,0,8,52,9,9,26,28,84,84,1014,1010.4,22.8,23.9,0,0,1
"2009-02-27-NorfolkIsland",19.5,22.5,107.4,14,65,14,11,17,22,95,87,1004.7,1005.3,21.8,21.2,1,1,0
"2009-02-28-NorfolkIsland",20,24.7,0.8,15,24,16,15,11,13,76,66,1008.9,1009,21.8,24.3,0,1,0
"2009-03-01-NorfolkIsland",18.3,25.9,0,2,28,12,12,13,20,67,61,1013.3,1012.6,23.4,25,0,1,0
"2009-03-02-NorfolkIsland",19.1,24.3,0,11,24,10,8,9,17,79,69,1016.6,1015.7,22.3,23.1,0,1,0
"2009-03-03-NorfolkIsland",20,25.4,0,6,41,9,8,17,22,68,71,1018.9,1017.7,23.6,23.6,0,1,0
"2009-03-04-NorfolkIsland",20.6,24.7,0,9,41,9,9,20,24,73,73,1016.2,1012.2,22.6,23.2,0,0,1
"2009-03-05-NorfolkIsland",20.7,25.3,4.4,15,31,12,12,19,20,82,66,1008.6,1009.3,23.5,24.6,1,1,0
"2009-03-06-NorfolkIsland",20.2,26.5,0,2,31,2,12,13,13,77,70,1012.6,1011.6,24,25.8,0,1,0
"2009-03-07-NorfolkIsland",20.5,25.1,0.8,10,37,11,10,11,24,83,74,1013.4,1011.7,23.4,23.9,0,1,0
"2009-03-08-NorfolkIsland",20.1,24.5,0,10,35,10,8,17,20,66,58,1014.9,1014.4,23,23.4,0,1,0
"2009-03-09-NorfolkIsland",19.6,24.1,0,8,35,8,8,19,20,59,60,1017.7,1016.2,22.6,23.8,0,1,0
"2009-03-10-NorfolkIsland",18.7,24,0.2,8,35,8,8,17,22,63,60,1018.8,1017.2,22.2,22.8,0,1,0
"2009-03-11-NorfolkIsland",19.5,23.6,0,8,37,8,8,22,22,69,58,1018.6,1016.8,21.2,23.1,0,1,0
"2009-03-12-NorfolkIsland",18.7,23.8,0.2,10,35,8,8,15,20,60,61,1019.2,1018.3,22.2,22.5,0,1,0
"2009-03-13-NorfolkIsland",18.1,23.8,0,8,35,9,8,13,20,67,63,1019.2,1017.7,21.2,22.8,0,1,0
"2009-03-14-NorfolkIsland",19.1,23.7,0.6,6,39,9,6,20,24,75,70,1018.1,1016.2,20.8,21.5,0,1,0
"2009-03-15-NorfolkIsland",19.3,24.5,0,6,37,9,9,19,22,73,59,1016.9,1015,21.2,23.4,0,1,0
"2009-03-16-NorfolkIsland",20.7,25.8,0,6,48,6,7,28,30,73,74,1015.5,1014.2,24.4,24.3,0,1,0
"2009-03-17-NorfolkIsland",21.4,26.3,0,6,37,6,6,28,17,79,76,1014.6,1013.3,24,24.8,0,1,0
"2009-03-18-NorfolkIsland",20.8,25.8,0,9,30,6,8,17,15,81,75,1015.7,1014.2,23.1,24,0,0,1
"2009-03-19-NorfolkIsland",20.4,24.9,1.8,8,37,9,8,19,24,79,71,1016.1,1014.2,22.9,24,1,1,0
"2009-03-20-NorfolkIsland",20.3,24.1,0.8,7,41,6,6,26,17,83,92,1015.3,1014.2,22.8,21.3,0,0,1
