"Date-Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","RainTomorrow"
"2008-07-02-Perth",6.4,20.7,0,5,22,9,7,6,9,80,39,1024.1,1019,11.1,19.7,0,0,1
"2008-07-04-Perth",9.5,19.2,1.8,15,26,4,1,11,6,93,73,1019.3,1018.4,13.2,17.7,1,0,1
"2008-07-05-Perth",9.5,16.4,1.8,13,44,15,14,13,17,69,57,1020.4,1022.1,15.9,16,1,0,1
"2008-07-06-Perth",0.7,15.9,6.8,4,24,7,5,4,7,86,41,1032,1029.6,6.9,15.5,1,1,0
"2008-07-07-Perth",0.7,18.3,0,3,37,5,4,15,13,72,36,1028.9,1024.2,8.7,17.9,0,1,0
"2008-07-08-Perth",3.2,20.4,0,1,24,5,3,9,13,58,42,1023.9,1021.1,10.2,19.3,0,0,1
"2008-07-10-Perth",11.2,20.4,4.6,1,46,5,4,19,11,79,50,1020.2,1014,13.4,19,1,0,1
"2008-07-11-Perth",13.4,17.1,2.6,14,54,14,14,26,13,63,77,1014.7,1015.2,15.4,14.8,1,0,1
"2008-07-12-Perth",7.9,17.3,4.4,16,19,3,16,7,9,99,59,1019,1018.7,9.6,16.2,1,1,0
"2008-07-13-Perth",5.3,18.8,0.2,3,17,5,15,7,7,96,63,1025.1,1024.1,9.5,17.2,0,1,0
"2008-07-14-Perth",7.9,19.7,0,5,31,5,3,11,15,86,41,1026,1021.9,11.7,18.7,0,1,0
"2008-07-15-Perth",9,17.1,0,4,43,3,15,22,15,62,90,1010.4,1008.1,15.8,14.9,0,0,1
"2008-07-16-Perth",10.2,17.1,24,14,44,14,13,19,13,76,54,1013.8,1014.8,13.2,15.9,1,0,1
"2008-07-17-Perth",6.7,16.9,2.6,13,46,5,1,9,9,87,75,1015.1,1010.1,10.5,14.4,1,0,1
"2008-07-18-Perth",10.4,17.9,20.6,2,76,2,15,22,30,57,50,1002.3,1002.2,16.8,13.9,1,1,0
"2008-07-20-Perth",1.2,17,0,5,20,5,10,7,6,97,52,1030.1,1028.5,7.5,15.6,0,1,0
"2008-07-21-Perth",3.1,17.1,0,4,28,5,6,2,6,94,49,1031.1,1027.4,9.1,16.6,0,1,0
"2008-07-22-Perth",3.3,18.9,0,5,37,5,3,11,15,80,40,1024.8,1020.2,8.9,17.9,0,1,0
"2008-07-23-Perth",8.9,17.4,0,3,43,3,1,15,7,68,97,1013.6,1013.2,14.9,14.9,0,0,1
"2008-07-24-Perth",9.3,18.3,19.2,15,33,12,13,7,15,65,57,1018,1017.6,15.6,17.4,1,1,0
"2008-07-25-Perth",7.4,17,0,5,28,6,14,7,19,84,88,1017.7,1014.1,12.1,14,0,0,1
"2008-07-26-Perth",7.8,19.3,12.6,8,52,6,3,4,2,99,50,1017.8,1015.2,9,19.2,1,0,1
"2008-07-27-Perth",9,20.8,4,4,39,5,15,11,11,94,87,1009.7,1007.9,13.4,18.3,1,0,1
"2008-07-28-Perth",11.8,15.9,5.4,13,44,3,15,11,15,97,81,1008.2,1007.5,14.6,14.7,1,0,1
"2008-07-29-Perth",9.7,18,11.6,12,39,4,12,7,11,93,86,1012.3,1008.4,12.5,15.3,1,0,1
"2008-07-30-Perth",12.4,16.2,30.6,13,54,15,15,19,24,61,45,1005.1,1005.5,14.4,15,1,0,1
"2008-07-31-Perth",6.7,14.1,3,14,37,4,16,4,9,97,76,1015.2,1017,9.1,13.2,1,0,1
"2008-08-01-Perth",7.8,18.1,7.8,3,30,4,3,11,11,82,86,1021.6,1018.3,11.8,15,1,0,1
"2008-08-02-Perth",11.2,17.5,18.2,14,46,14,16,22,20,57,51,1017.3,1018,14.7,15.6,1,1,0
"2008-08-03-Perth",4.7,17.1,0.2,11,24,4,11,6,15,70,50,1027.5,1026.5,11.2,16.4,0,1,0
"2008-08-04-Perth",2.1,19.4,0,5,22,7,5,6,6,78,39,1033.2,1030.5,9.7,19.2,0,1,0
"2008-08-05-Perth",2.2,20.3,0,5,20,7,8,7,7,84,40,1034,1030.5,9.6,18.9,0,1,0
"2008-08-08-Perth",7,17.6,0,7,31,6,7,11,13,64,41,1031.7,1028.3,11.4,17.3,0,1,0
"2008-08-09-Perth",8.1,18,0,9,46,6,6,17,15,63,42,1030,1026.4,11.6,17.7,0,1,0
"2008-08-10-Perth",9.1,18.7,0,4,39,7,7,13,19,52,41,1028.6,1024.7,12.6,18.5,0,1,0
"2008-08-11-Perth",7.6,20.4,0,6,30,6,8,9,9,57,33,1026.9,1023.5,11,20.3,0,1,0
"2008-08-12-Perth",4.9,17.5,0,8,28,6,9,11,15,57,34,1030.4,1027.9,11.7,16.9,0,1,0
"2008-08-13-Perth",5.8,19.7,0,4,31,6,6,7,11,59,27,1031.8,1028.7,12.2,18.9,0,1,0
"2008-08-14-Perth",3.3,21.3,0,5,33,5,7,13,13,49,25,1030.1,1026.4,13.3,20.3,0,1,0
"2008-08-15-Perth",3.3,23.1,0,1,30,5,14,11,9,53,21,1028.1,1025.1,11.9,22.2,0,1,0
"2008-08-16-Perth",3.1,23.9,0,4,30,5,2,13,9,39,17,1029.5,1027.6,14.9,23.6,0,1,0
"2008-08-17-Perth",2.5,24.2,0,3,28,5,13,15,7,41,21,1032.5,1029.9,14.7,22.9,0,1,0
"2008-08-18-Perth",1.8,22.5,0,1,39,4,12,13,17,44,11,1029.5,1025.8,13.2,22.1,0,1,0
